Name,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Jake Anchia,R,28,C,71,65,6,14,2,0,2,10,4,26,0,0
Gabriel Arias,R,25,SS,16,13,1,4,0,0,1,1,3,3,0,1
Travis Bazzana,L,22,2B,120,89,21,20,3,2,4,14,29,32,2,1
Justin Boyd,R,24,LF,32,24,5,2,0,0,0,1,5,10,0,0
Will Brennan,L,27,RF,156,148,19,45,8,0,3,18,8,20,2,1
Juan Brito,B,23,2B,99,82,15,21,6,1,3,15,13,21,4,2
Christian Cairo,R,24,3B,416,354,56,84,21,3,2,28,45,97,33,7
Kyle Datres,R,29,1B,135,113,11,23,4,0,2,9,18,36,1,2
Chase DeLauter,L,23,RF,149,126,25,35,8,1,5,21,22,23,0,0
Kyle Dernedde,R,24,2B,1,1,0,0,0,0,0,0,0,1,0,0
Dayan Frias,B,23,P,176,158,21,32,7,0,1,10,15,41,7,4
David Fry,R,29,,13,12,1,2,0,0,1,3,1,3,0,0
Petey Halpin,L,23,CF,553,493,86,123,29,5,14,44,51,156,15,3
Kody Huff,R,24,C,407,361,31,80,19,1,6,47,37,104,3,3
Cooper Ingle,L,23,C,107,82,13,17,7,0,1,6,21,15,0,0
C.J. Kayfus,L,23,1B,289,251,39,71,14,4,13,43,33,79,2,1
Joe Lampe,L,24,LF,30,27,1,5,1,1,0,4,2,8,2,1
David Leon,L,21,P,12,10,0,2,0,0,0,0,2,6,0,0
Guy Lipscomb,L,24,LF,13,12,2,3,0,0,0,0,0,2,1,0
Angel Martinez,B,23,CF,34,32,7,11,6,0,0,8,0,9,1,0
Jhonkensy Noel,R,23,1B,252,227,22,62,14,0,12,39,21,67,1,1
Dom Nunez,L,30,C,298,238,28,42,14,0,9,33,51,87,1,1
Micah Pries,L,27,1B,114,101,16,14,1,2,4,10,10,27,2,2
Brayan Rocchio,B,24,SS,188,159,28,40,12,2,7,30,23,27,7,3
Johnathan Rodriguez,L,25,RF,373,324,48,101,16,1,16,66,43,86,0,2
Lane Thomas,R,29,RF,27,24,7,8,2,0,2,5,2,6,1,1
Milan Tolentino,L,23,SS,460,394,58,85,20,2,21,66,55,158,20,6
Yordys Valdes,B,23,SS,337,315,31,59,17,2,5,28,13,108,10,2
George Valera,L,24,RF,107,94,11,24,6,2,3,10,13,27,0,0
Kahlil Watson,L,22,CF,176,149,23,38,7,1,8,25,22,47,10,2
Will Wilson,R,26,3B,292,260,38,64,12,2,11,35,28,65,4,3
