Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
Kevin Alcintara,R,22,430,379,55,101,26,0,17,69,10,4,48,128
Greg Allen,B,32,231,200,31,54,14,1,6,32,11,3,15,52
Miguel Amaya,R,26,45,41,2,8,0,0,0,5,0,0,3,7
Moises Ballesteros,L,21,509,446,62,141,29,1,13,76,5,2,49,67
Vidal Brujin,B,27,13,13,0,4,1,0,0,0,1,0,0,4
Owen Caissie,L,22,433,370,74,106,28,2,22,55,5,4,57,121
Hayden Cantrelle,B,26,278,235,37,55,9,1,4,28,19,4,33,91
Parker Chavers,L,26,101,85,11,15,3,1,0,9,3,1,16,28
Tom Cosgrove,L,29,1,1,0,0,0,0,0,0,0,0,0,1
Ben Cowles,R,25,462,421,55,100,28,3,9,44,16,6,33,132
Christian Franklin,R,25,390,321,61,85,20,4,8,41,11,5,63,80
Billy Hamilton,R,34,0,0,2,0,0,0,0,0,3,2,0,0
Darius Hill,L,27,114,99,15,21,6,1,1,9,1,0,12,25
Ed Howard,R,23,9,8,1,2,1,0,0,2,0,0,1,4
Caleb Knight,R,29,71,66,7,14,5,0,2,10,1,1,2,21
Jonathon Long,R,23,607,514,86,157,23,3,20,91,2,0,79,116
Nicky Lopez,L,30,127,100,13,27,6,1,0,7,2,2,21,17
Dixon Machado,R,33,331,272,36,60,10,0,4,34,4,2,50,59
Reese McGuire,L,30,86,75,11,21,5,0,3,19,2,0,10,12
Rafael Morel,R,23,37,33,2,4,1,0,0,4,1,0,4,15
Casey Opitz,B,26,1,1,0,0,0,0,0,0,0,0,0,1
Jaylen Palmer,R,24,4,4,0,0,0,0,0,0,0,0,0,1
Carlos Perez,R,34,465,402,75,115,32,1,27,87,1,1,51,77
Will Sanders,L,23,2,2,0,0,0,0,0,0,0,0,0,2
Matt Shaw,R,23,110,91,22,26,5,1,6,14,5,0,17,11
Chase Strumpf,R,27,392,321,52,71,16,2,13,49,10,0,63,120
James Triantos,R,22,444,407,65,105,20,2,7,43,28,10,31,67
Forrest Wall,L,29,60,49,13,12,3,0,2,13,8,3,10,15
