Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Keaton Anthony,R,24,148,134,14,42,10,0,2,10,12,33,0,0
Christian Arroyo,R,30,190,169,25,53,14,0,5,37,16,37,1,0
Alec Bohm,R,28,22,21,2,3,0,1,1,2,1,2,0,0
Josh Breaux,R,27,132,115,16,26,4,1,2,12,14,35,0,0
Erick Brito,R,23,168,144,19,36,7,1,0,18,17,36,7,3
Rodolfo Castro,R,26,525,456,72,107,26,1,19,82,54,119,18,8
Justin Crawford,L,21,506,440,88,147,23,4,7,47,58,91,46,11
Nick Dunn,L,28,38,34,5,9,1,0,1,3,3,6,0,0
Cade Fergus,R,24,36,33,9,11,0,0,5,13,2,15,3,1
Payton Henry,R,28,269,241,35,60,7,0,11,47,20,70,1,0
Brewer Hicklen,R,29,133,119,22,26,2,0,8,25,11,42,7,1
Otto Kemp,R,25,343,284,64,88,24,1,16,67,36,84,13,2
Buddy Kennedy,R,26,268,226,35,64,11,1,8,40,31,41,3,1
Matt Kroon,R,28,69,56,7,13,2,0,1,9,11,15,7,1
Rafael Lantigua,R,27,495,400,82,92,15,2,7,56,77,73,17,7
Brandon Marsh*,L,27,25,20,3,6,0,0,1,6,4,8,2,0
Paul McIntosh,R,27,40,30,3,4,0,0,2,6,6,8,0,0
Oscar Mercado,R,30,477,389,65,97,13,1,11,65,69,68,40,10
Aidan Miller,R,21,37,27,8,9,2,0,1,1,9,7,7,1
Robert Moore,B,23,32,27,5,6,2,0,1,4,3,1,1,0
Felix Reyes,R,24,26,23,2,6,0,0,1,2,2,5,0,0
Gabriel Rincones Jr.,L,24,506,412,81,99,22,1,18,73,80,114,21,5
Johan Rojas,R,24,161,147,18,41,7,1,1,13,13,32,8,2
Cal Stevenson,L,28,346,278,48,66,11,1,6,38,59,78,22,4
Garrett Stubbs,L,32,309,264,45,70,12,0,8,50,31,62,5,2
Carson Taylor,L,26,8,7,2,5,2,0,1,2,1,2,0,0
Luis Verdugo,R,24,109,100,14,18,2,0,2,9,7,35,0,0
Donovan Walton,R,31,209,177,27,60,9,0,2,27,25,28,3,3
Weston Wilson,R,30,123,104,21,26,5,1,3,12,18,26,4,3
